"P1","P2","Rounds","Rounds","P1 Mean","P2 Mean","0-00","0-01","0-01","0-11","1-00","1-01","1-00","1-11","cov(p1,p2)",,,,,,,,,,,,,,,,,,,,,
7025,3333,513,513,0.076172,0.041016,0.000000,"NaN",0.000000,"NaN",0.062500,0.052632,1.000000,0.500000,"7.881030701754343E-4",,,,,,,,,,,,,,,,,,,,,
8200,3333,420,420,0.121718,0.038186,0.000000,"NaN",0.000000,0.000000,0.062500,0.083333,0.052632,0.333333,0.004910,,,,,,,,,,,,,,,,,,,,,
9177,3333,74,74,0.109589,0.054795,0.000000,"NaN",0.000000,"NaN",0.500000,0.250000,1.000000,"NaN",-0.005924,,,,,,,,,,,,,,,,,,,,,
5396,3333,1059,1059,0.036862,0.036862,0.000000,0.000000,0.000000,"NaN",0.033333,"NaN",0.142857,1.000000,"-4.1234463443238297E-4",,,,,,,,,,,,,,,,,,,,,
1194,3333,3642,3642,0.094480,0.034331,0.000000,0.000000,0.000000,"NaN",0.004878,0.008547,0.071429,0.142857,-0.001320,,,,,,,,,,,,,,,,,,,,,
8608,3333,1532,1532,0.031352,0.036577,0.000000,0.000000,0.000000,0.000000,0.026316,"NaN",0.111111,"NaN","-4.928603465712091E-4",,,,,,,,,,,,,,,,,,,,,
7812,3333,550,550,0.036430,0.030965,0.000000,0.000000,0.000000,0.000000,0.058824,1.000000,1.000000,"NaN","6.954793840039735E-4",,,,,,,,,,,,,,,,,,,,,
2476,3333,131,131,0.100000,0.038462,0.000000,"NaN",0.000000,"NaN",0.125000,0.200000,"NaN","NaN",-0.003817,,,,,,,,,,,,,,,,,,,,,
6780,3333,797,798,0.349246,0.035176,0.000000,0.000000,0.000000,0.000000,0.003861,0.500000,0.090909,0.166667,0.019137,,,,,,,,,,,,,,,,,,,,,
8650,3333,2119,2119,0.117564,0.036355,0.000000,0.000000,0.000000,"NaN",0.006579,0.014493,0.050000,0.142857,"-9.670141233081165E-4",,,,,,,,,,,,,,,,,,,,,
8582,3333,1535,1535,0.035854,0.024772,0.000000,0.000000,0.000000,0.000000,0.020000,0.333333,1.000000,"NaN","-2.3569981611167476E-4",,,,,,,,,,,,,,,,,,,,,
9008,3333,214,214,0.408451,0.023474,0.000000,"NaN",0.000000,0.000000,0.019608,1.000000,0.030303,1.000000,0.009236,,,,,,,,,,,,,,,,,,,,,
1365,3333,289,289,0.086806,0.045139,0.000000,0.000000,0.000000,"NaN",0.100000,0.100000,0.333333,1.000000,"-4.325259515570937E-4",,,,,,,,,,,,,,,,,,,,,
4400,3333,373,373,0.075269,0.032258,0.000000,"NaN",0.000000,"NaN",0.076923,0.083333,0.500000,"NaN",-0.002422,,,,,,,,,,,,,,,,,,,,,
9784,3333,1497,1498,0.229278,0.023396,0.000000,"NaN",0.000000,0.000000,0.003774,"NaN",0.014286,0.125000,0.018035,,,,,,,,,,,,,,,,,,,,,
1378,3333,475,475,0.050633,0.018987,0.000000,"NaN",0.000000,"NaN",0.071429,0.125000,"NaN",1.000000,0.001150,,,,,,,,,,,,,,,,,,,,,
7334,3333,1948,1948,0.110940,0.026708,0.000000,0.000000,0.000000,0.000000,0.007042,0.166667,0.015625,0.250000,"6.338398779146355E-4",,,,,,,,,,,,,,,,,,,,,
1513,3333,1075,1075,0.029795,0.032588,0.000000,0.000000,0.000000,"NaN",0.037037,"NaN",0.250000,"NaN","-9.700749209648772E-4",,,,,,,,,,,,,,,,,,,,,
4678,3333,1580,1580,0.029132,0.043065,0.000000,0.000000,0.000000,"NaN",0.024390,0.333333,1.000000,"NaN",-0.001254,,,,,,,,,,,,,,,,,,,,,
1281,3333,1287,1287,0.094090,0.027216,0.000000,0.000000,0.000000,0.000000,0.021739,0.040000,0.021739,0.333333,"5.516342996902885E-4",,,,,,,,,,,,,,,,,,,,,
7558,3333,1031,1031,0.066019,0.038835,0.000000,0.000000,0.000000,"NaN",0.038462,0.027027,0.500000,0.500000,"-6.196265290555876E-4",,,,,,,,,,,,,,,,,,,,,
4100,3333,295,296,0.047619,0.044218,0.000000,0.000000,0.000000,"NaN",0.125000,"NaN",0.333333,0.500000,0.004704,,,,,,,,,,,,,,,,,,,,,
7170,3333,2260,2260,0.035857,0.030544,0.000000,0.000000,0.000000,0.000000,0.013514,0.333333,0.250000,"NaN","-2.093886009550782E-4",,,,,,,,,,,,,,,,,,,,,
8655,3333,259,259,0.065891,0.038760,0.000000,"NaN",0.000000,"NaN",0.200000,0.111111,1.000000,1.000000,0.001332,,,,,,,,,,,,,,,,,,,,,
4166,3333,2078,2078,0.067405,0.026481,0.000000,0.000000,0.000000,"NaN",0.012346,0.020408,0.166667,0.333333,"-3.3966588554325283E-4",,,,,,,,,,,,,,,,,,,,,
5209,3333,1675,1675,0.037037,0.032855,0.000000,0.000000,0.000000,0.000000,0.018519,0.500000,0.200000,"NaN","-6.187699495354762E-4",,,,,,,,,,,,,,,,,,,,,
9992,3333,1056,1056,0.066351,0.036019,0.000000,0.000000,0.000000,"NaN",0.035714,0.027778,0.250000,1.000000,-0.001440,,,,,,,,,,,,,,,,,,,,,
5983,3333,1298,1298,0.051658,0.031611,0.000000,"NaN",0.000000,"NaN",0.041667,0.025000,0.500000,"NaN",-0.001632,,,,,,,,,,,,,,,,,,,,,
4205,3333,719,719,0.051532,0.027855,0.000000,0.000000,0.000000,"NaN",0.058824,0.062500,"NaN",0.333333,0.002745,,,,,,,,,,,,,,,,,,,,,
4231,3333,694,694,0.066378,0.028860,0.000000,"NaN",0.000000,"NaN",0.043478,0.055556,0.500000,0.500000,"9.730903102661027E-4",,,,,,,,,,,,,,,,,,,,,
4379,3333,465,465,0.043103,0.021552,0.000000,0.000000,0.000000,"NaN",0.066667,1.000000,0.333333,"NaN","-9.269558769002594E-4",,,,,,,,,,,,,,,,,,,,,
6699,3333,2098,2098,0.061516,0.028135,0.000000,0.000000,0.000000,"NaN",0.016393,0.019231,0.090909,0.250000,"1.775199306467601E-4",,,,,,,,,,,,,,,,,,,,,
7373,3333,4502,4502,0.086425,0.031326,0.000000,0.000000,0.000000,0.000000,0.006897,0.007813,0.009524,0.100000,"-2.6288644480110187E-4",,,,,,,,,,,,,,,,,,,,,
7389,3333,3070,3070,0.050505,0.024112,0.000000,0.000000,0.000000,"NaN",0.012987,0.014706,0.250000,0.200000,"4.1180959537584727E-4",,,,,,,,,,,,,,,,,,,,,
7506,3333,1097,1097,0.033759,0.031934,0.000000,0.000000,0.000000,0.000000,0.032258,0.500000,0.333333,1.000000,0.002573,,,,,,,,,,,,,,,,,,,,,
8322,3333,1746,1746,0.026934,0.028653,0.000000,0.000000,0.000000,0.000000,0.022222,1.000000,"NaN","NaN",0.001521,,,,,,,,,,,,,,,,,,,,,
4035,2676,2345,2345,0.433447,0.137372,0.000000,0.000000,0.000000,0.000000,0.001898,0.017544,0.002740,0.015152,0.004475,,,,,,,,,,,,,,,,,,,,,
2676,6152,58,58,0.754386,0.771930,0.000000,0.000000,0.000000,0.000000,0.333333,0.166667,0.333333,0.033333,0.059286,,,,,,,,,,,,,,,,,,,,,
2676,6612,1659,1659,0.933655,0.911942,0.000000,0.000000,0.000000,0.000000,0.142857,0.011111,0.011494,"7.336757153338225E-4",0.003115,,,,,,,,,,,,,,,,,,,,,
7025,2676,165,165,0.896341,0.932927,"NaN","NaN",0.000000,0.000000,"NaN",0.062500,"NaN",0.007692,-0.001885,,,,,,,,,,,,,,,,,,,,,
2676,8200,446,446,0.364045,0.622472,0.000000,0.000000,0.000000,0.000000,0.018519,0.018182,1.000000,0.019608,0.012103,,,,,,,,,,,,,,,,,,,,,
9177,2676,1390,1390,0.906407,0.933765,0.000000,0.000000,0.000000,0.000000,"NaN",0.008547,0.500000,"8.77963125548727E-4",0.001609,,,,,,,,,,,,,,,,,,,,,
2676,5396,1393,1393,0.047414,0.029454,0.000000,0.000000,0.000000,"NaN",0.020000,0.166667,0.200000,0.250000,0.001478,,,,,,,,,,,,,,,,,,,,,
2676,1194,1431,1431,0.848252,0.751748,0.000000,0.000000,0.000000,0.000000,0.033333,0.006944,0.006944,0.001119,0.005431,,,,,,,,,,,,,,,,,,,,,
2676,8608,1115,1115,0.622083,0.687612,0.000000,0.000000,0.000000,0.000000,0.010101,0.012987,0.014925,0.002227,0.071734,,,,,,,,,,,,,,,,,,,,,
7812,2676,516,516,0.021359,0.044660,0.000000,0.000000,0.000000,0.000000,0.111111,"NaN","NaN",1.000000,0.002931,,,,,,,,,,,,,,,,,,,,,
2476,2676,2210,2210,0.906745,0.927569,0.000000,0.000000,0.000000,0.000000,0.500000,0.005780,0.111111,"5.5005500550055E-4",0.006301,,,,,,,,,,,,,,,,,,,,,
2676,6780,2097,2096,0.824905,0.849237,0.000000,0.000000,0.000000,0.000000,0.010204,0.012346,0.023256,"6.640106241699867E-4",0.102276,,,,,,,,,,,,,,,,,,,,,
8650,2676,930,930,0.912809,0.934338,0.000000,0.000000,0.000000,0.000000,0.333333,0.014286,1.000000,0.001294,0.005956,,,,,,,,,,,,,,,,,,,,,
2676,8582,1314,1314,0.384615,0.433359,0.000000,0.000000,0.000000,0.000000,0.005952,0.010309,0.010989,0.006757,0.038325,,,,,,,,,,,,,,,,,,,,,
9008,2676,463,463,0.419913,0.393939,0.000000,0.000000,0.000000,0.000000,0.015385,0.014493,0.031250,0.037037,0.010262,,,,,,,,,,,,,,,,,,,,,
2676,1365,835,835,0.924460,0.899281,0.000000,0.000000,0.000000,0.000000,0.142857,0.021739,0.023810,0.001481,0.008975,,,,,,,,,,,,,,,,,,,,,
4400,2676,316,316,0.860317,0.904762,0.000000,0.000000,0.000000,0.000000,"NaN",0.025641,"NaN",0.004329,-0.004491,,,,,,,,,,,,,,,,,,,,,
9784,2676,359,360,0.918994,0.913408,0.000000,0.000000,0.000000,0.000000,0.066667,0.166667,0.166667,0.003322,0.056776,,,,,,,,,,,,,,,,,,,,,
2676,1378,223,223,0.914414,0.905405,0.000000,0.000000,0.000000,0.000000,0.333333,0.090909,0.111111,0.005587,0.022644,,,,,,,,,,,,,,,,,,,,,
7334,2676,791,791,0.641772,0.640506,0.000000,0.000000,0.000000,0.000000,0.142857,0.006098,0.016393,0.003636,0.018574,,,,,,,,,,,,,,,,,,,,,
2676,1513,105,105,0.259615,0.134615,0.000000,0.000000,0.000000,0.000000,0.050000,1.000000,"NaN",0.200000,0.051923,,,,,,,,,,,,,,,,,,,,,
4678,2676,629,629,0.847134,0.877389,0.000000,0.000000,0.000000,0.000000,0.333333,0.015873,0.200000,0.002174,0.027024,,,,,,,,,,,,,,,,,,,,,
2676,1281,1642,1642,0.296770,0.433272,0.000000,0.000000,0.000000,0.000000,0.004762,0.006250,0.018519,0.016129,0.004951,,,,,,,,,,,,,,,,,,,,,
7558,2676,602,602,0.923461,0.943428,0.000000,"NaN",0.000000,0.000000,"NaN",0.022727,1.000000,0.001965,"4.449947761482802E-4",,,,,,,,,,,,,,,,,,,,,
4100,2676,133,134,0.469697,0.121212,0.000000,0.000000,0.000000,0.000000,0.038462,0.333333,0.038462,0.142857,0.011677,,,,,,,,,,,,,,,,,,,,,
2676,7170,1018,1018,0.049164,0.037365,0.000000,0.000000,0.000000,0.000000,0.023810,0.500000,1.000000,0.250000,0.007014,,,,,,,,,,,,,,,,,,,,,
8655,2676,320,320,0.880878,0.905956,0.000000,0.000000,0.000000,0.000000,"NaN",0.034483,0.500000,0.004016,0.010100,,,,,,,,,,,,,,,,,,,,,
4166,2676,80,80,0.835443,0.886076,0.000000,"NaN",0.000000,0.000000,"NaN",0.125000,"NaN",0.017544,0.041139,,,,,,,,,,,,,,,,,,,,,
5209,2676,1167,1167,0.045455,0.049743,0.000000,0.000000,0.000000,0.000000,0.025641,1.000000,0.250000,0.125000,0.007175,,,,,,,,,,,,,,,,,,,,,
9992,2676,431,431,0.900000,0.902326,0.000000,0.000000,0.000000,0.000000,1.000000,0.032258,0.125000,0.002890,0.017698,,,,,,,,,,,,,,,,,,,,,
